         date     Predict    True  diff   acc
0  2024-01-26  100.309998   99.70 -0.60 -0.60
1  2024-01-29  100.269997  101.10  0.83  0.23
2  2024-01-30  100.300003   98.62 -1.68 -1.45
3  2024-01-31  100.120003  100.65  0.53 -0.92
4  2024-02-01  100.320000  100.83  0.51 -0.41
5  2024-02-02  100.430000  100.64  0.21 -0.20
6  2024-02-05  100.209999   99.45 -0.76 -0.96
7  2024-02-06  100.239998   99.07 -1.17 -2.13
8  2024-02-07  100.309998  101.23  0.92 -1.21
9  2024-02-08  100.349998  101.72  1.37  0.16
10 2024-02-12  100.279999  101.41  1.13  1.29
11 2024-02-13  100.209999  100.49  0.27  1.56
12 2024-02-14  100.279999  101.05  0.76  2.32
13 2024-02-15  100.300003  101.54  1.24  3.56
14 2024-02-16  100.230003   99.40 -0.83  2.73
15 2024-02-20  100.230003   99.40 -0.83  1.90
16 2024-02-21  100.290001  101.49  1.20  3.10
17 2024-02-23  100.410004  101.42  1.00  4.10
18 2024-02-26  100.250000   99.76 -0.50  3.60
19 2024-02-27  100.220001  100.00 -0.21  3.39
20 2024-02-28  100.260002   99.26 -1.00  2.39
21 2024-02-29  100.220001  100.96  0.75  3.14
22 2024-03-01  100.290001  102.43  2.13  5.27
23 2024-03-04  100.260002   99.21 -1.05  4.22
24 2024-03-05  100.110001   99.69 -0.43  3.79
25 2024-03-06  100.230003  101.43  1.19  4.98
26 2024-03-07  100.190002   98.28 -1.91  3.07
27 2024-03-08  100.169998   98.28 -1.89  1.18
28 2024-03-11  100.260002   98.67 -1.59 -0.41
29 2024-03-12  100.370003  101.78  1.40  0.99
30 2024-03-13  100.269997   98.50 -1.77 -0.78
31 2024-03-14  100.260002   99.83 -0.43 -1.21
32 2024-03-15  100.260002  101.15  0.89 -0.32
33 2024-03-18  100.279999  101.53  1.25  0.93
34 2024-03-20  100.589996  102.63  2.03  2.96
35 2024-03-21  100.349998  100.95  0.60  3.56
36 2024-03-22  100.160004   99.48 -0.68  2.88
37 2024-03-25  100.209999   99.03 -1.18  1.70
38 2024-03-26  100.260002  100.26  0.00  1.70
39 2024-03-27  100.360001  100.38  0.02  1.72
40 2024-03-28  100.269997   99.83 -0.44  1.28
41 2024-04-01  100.209999   98.98 -1.23  0.05
42 2024-04-02  100.139999   99.02 -1.13 -1.08
43 2024-04-03  100.250000  101.26  1.00 -0.08
Mean Absolute Error: 0.97%
Epoch: 610, Final Loss: 0.000115
Norm: 27.70

         date     Predict    True  diff   acc
0  2024-01-29  100.239998  101.10  0.87  0.87
1  2024-01-30  100.269997   98.62 -1.65 -0.78
2  2024-01-31  100.040001  100.65  0.61 -0.17
3  2024-02-01  100.300003  100.83  0.53  0.36
4  2024-02-02  100.440002  100.64  0.20  0.56
5  2024-02-05  100.150002   99.45 -0.70 -0.14
6  2024-02-06  100.199997   99.07 -1.12 -1.26
7  2024-02-07  100.290001  101.23  0.94 -0.32
8  2024-02-08  100.339996  101.72  1.38  1.06
9  2024-02-12  100.239998  101.41  1.16  2.22
10 2024-02-13  100.160004  100.49  0.33  2.55
11 2024-02-14  100.250000  101.05  0.79  3.34
12 2024-02-15  100.279999  101.54  1.26  4.60
13 2024-02-16  100.190002   99.40 -0.78  3.82
14 2024-02-20  100.180000   99.40 -0.78  3.04
15 2024-02-21  100.260002  101.49  1.23  4.27
16 2024-02-23  100.419998  101.42  1.00  5.27
17 2024-02-26  100.209999   99.76 -0.46  4.81
18 2024-02-27  100.160004  100.00 -0.16  4.65
19 2024-02-28  100.220001   99.26 -0.96  3.69
20 2024-02-29  100.169998  100.96  0.80  4.49
21 2024-03-01  100.260002  102.43  2.16  6.65
22 2024-03-04  100.220001   99.21 -1.01  5.64
23 2024-03-05  100.029999   99.69 -0.35  5.29
24 2024-03-06  100.180000  101.43  1.24  6.53
25 2024-03-07  100.139999   98.28 -1.85  4.68
26 2024-03-08  100.099998   98.28 -1.82  2.86
27 2024-03-11  100.220001   98.67 -1.55  1.31
28 2024-03-12  100.360001  101.78  1.41  2.72
29 2024-03-13  100.239998   98.50 -1.73  0.99
30 2024-03-14  100.220001   99.83 -0.39  0.60
31 2024-03-15  100.220001  101.15  0.93  1.53
32 2024-03-18  100.250000  101.53  1.28  2.81
33 2024-03-20  100.660004  102.63  1.96  4.77
34 2024-03-21  100.339996  100.95  0.61  5.38
35 2024-03-22  100.089996   99.48 -0.61  4.77
36 2024-03-25  100.160004   99.03 -1.13  3.64
37 2024-03-26  100.220001  100.26  0.04  3.68
38 2024-03-27  100.360001  100.38  0.02  3.70
39 2024-03-28  100.239998   99.83 -0.40  3.30
40 2024-04-01  100.160004   98.98 -1.18  2.12
41 2024-04-02  100.070000   99.02 -1.05  1.07
42 2024-04-03  100.209999  101.26  1.04  2.11
43 2024-04-04  100.000000   97.85 -2.15 -0.04
Mean Absolute Error: 0.99%
Epoch: 302, Final Loss: 0.000122
Norm: 15.42

         date     Predict    True  diff   acc
0  2024-01-30  100.250000   98.62 -1.63 -1.63
1  2024-01-31  100.050003  100.65  0.59 -1.04
2  2024-02-01  100.279999  100.83  0.55 -0.49
3  2024-02-02  100.389999  100.64  0.25 -0.24
4  2024-02-05  100.150002   99.45 -0.70 -0.94
5  2024-02-06  100.190002   99.07 -1.11 -2.05
6  2024-02-07  100.269997  101.23  0.96 -1.09
7  2024-02-08  100.300003  101.72  1.41  0.32
8  2024-02-12  100.220001  101.41  1.18  1.50
9  2024-02-13  100.160004  100.49  0.33  1.83
10 2024-02-14  100.230003  101.05  0.81  2.64
11 2024-02-15  100.260002  101.54  1.28  3.92
12 2024-02-16  100.180000   99.40 -0.78  3.14
13 2024-02-20  100.169998   99.40 -0.77  2.37
14 2024-02-21  100.239998  101.49  1.25  3.62
15 2024-02-23  100.370003  101.42  1.04  4.66
16 2024-02-26  100.199997   99.76 -0.44  4.22
17 2024-02-27  100.160004  100.00 -0.16  4.06
18 2024-02-28  100.209999   99.26 -0.94  3.12
19 2024-02-29  100.160004  100.96  0.80  3.92
20 2024-03-01  100.239998  102.43  2.18  6.10
21 2024-03-04  100.209999   99.21 -1.00  5.10
22 2024-03-05  100.050003   99.69 -0.36  4.74
23 2024-03-06  100.180000  101.43  1.25  5.99
24 2024-03-07  100.139999   98.28 -1.85  4.14
25 2024-03-08  100.099998   98.28 -1.83  2.31
26 2024-03-11  100.209999   98.67 -1.54  0.77
27 2024-03-12  100.330002  101.78  1.45  2.22
28 2024-03-13  100.220001   98.50 -1.72  0.50
29 2024-03-14  100.209999   99.83 -0.38  0.12
30 2024-03-15  100.199997  101.15  0.94  1.06
31 2024-03-18  100.230003  101.53  1.30  2.36
32 2024-03-20  100.570000  102.63  2.05  4.41
33 2024-03-21  100.309998  100.95  0.64  5.05
34 2024-03-22  100.099998   99.48 -0.62  4.43
35 2024-03-25  100.160004   99.03 -1.12  3.31
36 2024-03-26  100.209999  100.26  0.06  3.37
37 2024-03-27  100.320000  100.38  0.06  3.43
38 2024-03-28  100.220001   99.83 -0.39  3.04
39 2024-04-01  100.150002   98.98 -1.17  1.87
40 2024-04-02  100.080002   99.02 -1.06  0.81
41 2024-04-03  100.199997  101.26  1.06  1.87
42 2024-04-04  100.019997   97.85 -2.17 -0.30
43 2024-04-05  100.309998  100.56  0.25 -0.05
Mean Absolute Error: 0.99%
Epoch: 485, Final Loss: 0.000122
Norm: 24.54

         date     Predict    True  diff   acc
0  2024-01-31  100.070000  100.65  0.58  0.58
1  2024-02-01  100.320000  100.83  0.51  1.09
2  2024-02-02  100.459999  100.64  0.18  1.27
3  2024-02-05  100.180000   99.45 -0.73  0.54
4  2024-02-06  100.220001   99.07 -1.15 -0.61
5  2024-02-07  100.320000  101.23  0.92  0.31
6  2024-02-08  100.360001  101.72  1.36  1.67
7  2024-02-12  100.260002  101.41  1.14  2.81
8  2024-02-13  100.190002  100.49  0.30  3.11
9  2024-02-14  100.279999  101.05  0.77  3.88
10 2024-02-15  100.300003  101.54  1.24  5.12
11 2024-02-16  100.209999   99.40 -0.81  4.31
12 2024-02-20  100.199997   99.40 -0.80  3.51
13 2024-02-21  100.279999  101.49  1.20  4.71
14 2024-02-23  100.430000  101.42  0.98  5.69
15 2024-02-26  100.239998   99.76 -0.48  5.21
16 2024-02-27  100.190002  100.00 -0.19  5.02
17 2024-02-28  100.250000   99.26 -0.98  4.04
18 2024-02-29  100.190002  100.96  0.77  4.81
19 2024-03-01  100.279999  102.43  2.14  6.95
20 2024-03-04  100.250000   99.21 -1.03  5.92
21 2024-03-05  100.059998   99.69 -0.37  5.55
22 2024-03-06  100.209999  101.43  1.22  6.77
23 2024-03-07  100.160004   98.28 -1.88  4.89
24 2024-03-08  100.129997   98.28 -1.85  3.04
25 2024-03-11  100.250000   98.67 -1.58  1.46
26 2024-03-12  100.379997  101.78  1.39  2.85
27 2024-03-13  100.260002   98.50 -1.76  1.09
28 2024-03-14  100.239998   99.83 -0.42  0.67
29 2024-03-15  100.239998  101.15  0.91  1.58
30 2024-03-18  100.269997  101.53  1.26  2.84
31 2024-03-20  100.669998  102.63  1.95  4.79
32 2024-03-21  100.360001  100.95  0.59  5.38
33 2024-03-22  100.120003   99.48 -0.64  4.74
34 2024-03-25  100.190002   99.03 -1.15  3.59
35 2024-03-26  100.239998  100.26  0.02  3.61
36 2024-03-27  100.379997  100.38  0.00  3.61
37 2024-03-28  100.260002   99.83 -0.42  3.19
38 2024-04-01  100.180000   98.98 -1.20  1.99
39 2024-04-02  100.099998   99.02 -1.08  0.91
40 2024-04-03  100.239998  101.26  1.02  1.93
41 2024-04-04  100.029999   97.85 -2.18 -0.25
42 2024-04-05  100.370003  100.56  0.19 -0.06
43 2024-04-08  100.250000  100.27  0.02 -0.04
Mean Absolute Error: 0.94%
Epoch: 314, Final Loss: 0.000115
Norm: 7.54

         date     Predict    True  diff   acc
0  2024-02-01  100.320000  100.83  0.51  0.51
1  2024-02-02  100.470001  100.64  0.17  0.68
2  2024-02-05  100.160004   99.45 -0.71 -0.03
3  2024-02-06  100.199997   99.07 -1.13 -1.16
4  2024-02-07  100.309998  101.23  0.92 -0.24
