         date     Predict    True  diff   acc
0  2024-01-26  100.309998   99.70 -0.61 -0.61
1  2024-01-29  100.269997  101.10  0.83  0.22
2  2024-01-30  100.300003   98.62 -1.68 -1.46
3  2024-01-31  100.089996  100.65  0.56 -0.90
4  2024-02-01  100.330002  100.83  0.50 -0.40
5  2024-02-02  100.459999  100.64  0.18 -0.22
6  2024-02-05  100.190002   99.45 -0.75 -0.97
7  2024-02-06  100.230003   99.07 -1.16 -2.13
8  2024-02-07  100.330002  101.23  0.91 -1.22
9  2024-02-08  100.370003  101.72  1.35  0.13
10 2024-02-12  100.279999  101.41  1.13  1.26
11 2024-02-13  100.199997  100.49  0.29  1.55
12 2024-02-14  100.290001  101.05  0.76  2.31
13 2024-02-15  100.309998  101.54  1.23  3.54
14 2024-02-16  100.230003   99.40 -0.82  2.72
15 2024-02-20  100.220001   99.40 -0.82  1.90
16 2024-02-21  100.290001  101.49  1.19  3.09
17 2024-02-23  100.440002  101.42  0.97  4.06
18 2024-02-26  100.250000   99.76 -0.49  3.57
19 2024-02-27  100.199997  100.00 -0.20  3.37
20 2024-02-28  100.260002   99.26 -0.99  2.38
21 2024-02-29  100.209999  100.96  0.76  3.14
22 2024-03-01  100.290001  102.43  2.13  5.27
23 2024-03-04  100.260002   99.21 -1.05  4.22
24 2024-03-05  100.080002   99.69 -0.39  3.83
25 2024-03-06  100.220001  101.43  1.20  5.03
26 2024-03-07  100.180000   98.28 -1.89  3.14
27 2024-03-08  100.139999   98.28 -1.86  1.28
28 2024-03-11  100.260002   98.67 -1.59 -0.31
29 2024-03-12  100.389999  101.78  1.38  1.07
30 2024-03-13  100.269997   98.50 -1.77 -0.70
31 2024-03-14  100.250000   99.83 -0.43 -1.13
32 2024-03-15  100.250000  101.15  0.90 -0.23
33 2024-03-18  100.290001  101.53  1.24  1.01
34 2024-03-20  100.660004  102.63  1.95  2.96
35 2024-03-21  100.370003  100.95  0.58  3.54
36 2024-03-22  100.139999   99.48 -0.65  2.89
37 2024-03-25  100.199997   99.03 -1.17  1.72
38 2024-03-26  100.260002  100.26  0.01  1.73
39 2024-03-27  100.389999  100.38 -0.00  1.73
40 2024-03-28  100.269997   99.83 -0.44  1.29
41 2024-04-01  100.199997   98.98 -1.22  0.07
42 2024-04-02  100.120003   99.02 -1.10 -1.03
43 2024-04-03  100.250000  101.26  1.01 -0.02
Mean Absolute Error: 0.96%
Epoch: 341, Final Loss: 0.000113
Norm: 28.51

         date     Predict    True  diff   acc
0  2024-01-29  100.230003  101.10  0.87  0.87
1  2024-01-30  100.269997   98.62 -1.65 -0.78
2  2024-01-31  100.050003  100.65  0.60 -0.18
3  2024-02-01  100.300003  100.83  0.53  0.35
4  2024-02-02  100.419998  100.64  0.22  0.57
5  2024-02-05  100.160004   99.45 -0.71 -0.14
6  2024-02-06  100.199997   99.07 -1.13 -1.27
7  2024-02-07  100.290001  101.23  0.94 -0.33
8  2024-02-08  100.330002  101.72  1.39  1.06
9  2024-02-12  100.239998  101.41  1.16  2.22
10 2024-02-13  100.169998  100.49  0.32  2.54
11 2024-02-14  100.250000  101.05  0.79  3.33
12 2024-02-15  100.269997  101.54  1.27  4.60
13 2024-02-16  100.190002   99.40 -0.79  3.81
14 2024-02-20  100.180000   99.40 -0.78  3.03
15 2024-02-21  100.250000  101.49  1.23  4.26
16 2024-02-23  100.400002  101.42  1.01  5.27
17 2024-02-26  100.209999   99.76 -0.46  4.81
18 2024-02-27  100.169998  100.00 -0.17  4.64
19 2024-02-28  100.220001   99.26 -0.96  3.68
20 2024-02-29  100.169998  100.96  0.79  4.47
21 2024-03-01  100.250000  102.43  2.17  6.64
22 2024-03-04  100.220001   99.21 -1.01  5.63
23 2024-03-05  100.050003   99.69 -0.36  5.27
24 2024-03-06  100.190002  101.43  1.24  6.51
25 2024-03-07  100.139999   98.28 -1.86  4.65
26 2024-03-08  100.110001   98.28 -1.83  2.82
27 2024-03-11  100.220001   98.67 -1.55  1.27
28 2024-03-12  100.349998  101.78  1.42  2.69
29 2024-03-13  100.239998   98.50 -1.73  0.96
30 2024-03-14  100.220001   99.83 -0.39  0.57
31 2024-03-15  100.220001  101.15  0.93  1.50
32 2024-03-18  100.250000  101.53  1.28  2.78
33 2024-03-20  100.620003  102.63  1.99  4.77
34 2024-03-21  100.330002  100.95  0.62  5.39
35 2024-03-22  100.099998   99.48 -0.62  4.77
36 2024-03-25  100.169998   99.03 -1.13  3.64
37 2024-03-26  100.220001  100.26  0.04  3.68
38 2024-03-27  100.349998  100.38  0.03  3.71
39 2024-03-28  100.239998   99.83 -0.40  3.31
40 2024-04-01  100.160004   98.98 -1.18  2.13
41 2024-04-02  100.080002   99.02 -1.07  1.06
42 2024-04-03  100.209999  101.26  1.04  2.10
43 2024-04-04  100.019997   97.85 -2.17 -0.07
Mean Absolute Error: 1.00%
Epoch: 354, Final Loss: 0.000123
Norm: 15.17

         date     Predict    True  diff   acc
0  2024-01-30  100.250000   98.62 -1.63 -1.63
1  2024-01-31  100.050003  100.65  0.60 -1.03
2  2024-02-01  100.279999  100.83  0.55 -0.48
3  2024-02-02  100.389999  100.64  0.25 -0.23
4  2024-02-05  100.150002   99.45 -0.70 -0.93
5  2024-02-06  100.190002   99.07 -1.11 -2.04
6  2024-02-07  100.269997  101.23  0.96 -1.08
7  2024-02-08  100.300003  101.72  1.41  0.33
8  2024-02-12  100.220001  101.41  1.18  1.51
9  2024-02-13  100.160004  100.49  0.33  1.84
10 2024-02-14  100.230003  101.05  0.81  2.65
11 2024-02-15  100.260002  101.54  1.28  3.93
12 2024-02-16  100.180000   99.40 -0.78  3.15
13 2024-02-20  100.169998   99.40 -0.77  2.38
14 2024-02-21  100.239998  101.49  1.25  3.63
15 2024-02-23  100.370003  101.42  1.04  4.67
16 2024-02-26  100.199997   99.76 -0.44  4.23
17 2024-02-27  100.160004  100.00 -0.16  4.07
18 2024-02-28  100.209999   99.26 -0.94  3.13
19 2024-02-29  100.160004  100.96  0.80  3.93
20 2024-03-01  100.239998  102.43  2.18  6.11
21 2024-03-04  100.209999   99.21 -1.00  5.11
22 2024-03-05  100.050003   99.69 -0.36  4.75
23 2024-03-06  100.180000  101.43  1.25  6.00
24 2024-03-07  100.139999   98.28 -1.85  4.15
25 2024-03-08  100.099998   98.28 -1.82  2.33
26 2024-03-11  100.209999   98.67 -1.54  0.79
27 2024-03-12  100.330002  101.78  1.45  2.24
28 2024-03-13  100.220001   98.50 -1.72  0.52
29 2024-03-14  100.209999   99.83 -0.38  0.14
30 2024-03-15  100.199997  101.15  0.95  1.09
31 2024-03-18  100.230003  101.53  1.30  2.39
32 2024-03-20  100.570000  102.63  2.04  4.43
33 2024-03-21  100.309998  100.95  0.64  5.07
34 2024-03-22  100.099998   99.48 -0.61  4.46
35 2024-03-25  100.160004   99.03 -1.12  3.34
36 2024-03-26  100.209999  100.26  0.06  3.40
37 2024-03-27  100.320000  100.38  0.06  3.46
38 2024-03-28  100.220001   99.83 -0.39  3.07
39 2024-04-01  100.150002   98.98 -1.17  1.90
