         date     Predict    True  diff   acc
0  2024-03-25   99.800003   99.03 -0.77 -0.77
1  2024-03-26   99.860001  100.26  0.40 -0.37
2  2024-03-27   99.989998  100.38  0.39  0.02
3  2024-03-28   99.879997   99.83 -0.04 -0.02
4  2024-04-01   99.800003   98.98 -0.82 -0.84
5  2024-04-02   99.720001   99.02 -0.70 -1.54
6  2024-04-03   99.849998  101.26  1.41 -0.13
7  2024-04-04   99.650002   97.85 -1.80 -1.93
8  2024-04-05   99.989998  100.56  0.58 -1.35
9  2024-04-08   99.870003  100.27  0.40 -0.95
10 2024-04-09   99.849998  100.27  0.42 -0.53
11 2024-04-10   99.839996   98.65 -1.19 -1.72
12 2024-04-11   99.870003  101.69  1.83  0.11
13 2024-04-12   99.690002   98.26 -1.43 -1.32
14 2024-04-15   99.860001   99.12 -0.74 -2.06
15 2024-04-16   99.910004   99.85 -0.06 -2.12
16 2024-04-17   99.809998   97.77 -2.05 -4.17
17 2024-04-18   99.889999   99.70 -0.19 -4.36
18 2024-04-19   99.930000   98.80 -1.12 -5.48
19 2024-04-22   99.959999  101.57  1.61 -3.87
20 2024-04-23   99.949997  100.61  0.66 -3.21
21 2024-04-24   99.889999   99.70 -0.19 -3.40
22 2024-04-25   99.750000   99.67 -0.08 -3.48
23 2024-04-29  100.019997  101.52  1.50 -1.98
24 2024-04-30   99.779999   99.28 -0.51 -2.49
25 2024-05-01   99.620003   99.92  0.31 -2.18
26 2024-05-06  100.120003  102.21  2.09 -0.09
27 2024-05-07   99.930000   99.48 -0.45 -0.54
28 2024-05-08   99.980003   98.96 -1.02 -1.56
29 2024-05-09   99.970001  100.48  0.51 -1.05
30 2024-05-10   99.919998   99.28 -0.64 -1.69
31 2024-05-13   99.870003  100.20  0.33 -1.36
32 2024-05-14   99.919998  100.95  1.04 -0.32
33 2024-05-15   99.839996  100.35  0.51  0.19
34 2024-05-16   99.889999   99.58 -0.31 -0.12
35 2024-05-17   99.919998  100.42  0.50  0.38
36 2024-05-20   99.839996  101.38  1.54  1.92
37 2024-05-21   99.870003   99.00 -0.87  1.05
38 2024-05-22   99.839996   99.98  0.14  1.19
39 2024-05-23   99.669998   98.84 -0.83  0.36
40 2024-05-24   99.870003  100.85  0.98  1.34
41 2024-05-28   99.800003  100.27  0.48  1.82
42 2024-05-29   99.760002   97.93 -1.83 -0.01
Mean Absolute Error: 0.82%
Epoch: 306, Final Loss: 0.000095
Norm: 73.92
         date     Predict    True  diff   acc
0  2024-03-25   99.800003   99.03 -0.77 -0.77
1  2024-03-26   99.860001  100.26  0.40 -0.37
2  2024-03-27  100.000000  100.38  0.38  0.01
3  2024-03-28   99.879997   99.83 -0.04 -0.03
4  2024-04-01   99.800003   98.98 -0.82 -0.85
5  2024-04-02   99.709999   99.02 -0.69 -1.54
6  2024-04-03   99.849998  101.26  1.41 -0.13
7  2024-04-04   99.639999   97.85 -1.80 -1.93
8  2024-04-05   99.989998  100.56  0.57 -1.36
9  2024-04-08   99.870003  100.27  0.40 -0.96
10 2024-04-09   99.849998  100.27  0.42 -0.54
11 2024-04-10   99.830002   98.65 -1.19 -1.73
12 2024-04-11   99.870003  101.69  1.83  0.10
13 2024-04-12   99.680000   98.26 -1.42 -1.32
14 2024-04-15   99.860001   99.12 -0.74 -2.06
15 2024-04-16   99.919998   99.85 -0.07 -2.13
16 2024-04-17   99.809998   97.77 -2.05 -4.18
17 2024-04-18   99.889999   99.70 -0.19 -4.37
18 2024-04-19   99.930000   98.80 -1.13 -5.50
19 2024-04-22   99.970001  101.57  1.60 -3.90
20 2024-04-23   99.949997  100.61  0.66 -3.24
21 2024-04-24   99.889999   99.70 -0.19 -3.43
22 2024-04-25   99.750000   99.67 -0.08 -3.51
23 2024-04-29  100.029999  101.52  1.50 -2.01
24 2024-04-30   99.779999   99.28 -0.51 -2.52
25 2024-05-01   99.610001   99.92  0.32 -2.20
26 2024-05-06  100.129997  102.21  2.08 -0.12
27 2024-05-07   99.940002   99.48 -0.46 -0.58
28 2024-05-08   99.989998   98.96 -1.03 -1.61
29 2024-05-09   99.970001  100.48  0.51 -1.10
30 2024-05-10   99.919998   99.28 -0.65 -1.75
31 2024-05-13   99.870003  100.20  0.33 -1.42
32 2024-05-14   99.919998  100.95  1.03 -0.39
33 2024-05-15   99.839996  100.35  0.51  0.12
34 2024-05-16   99.889999   99.58 -0.31 -0.19
35 2024-05-17   99.919998  100.42  0.50  0.31
36 2024-05-20   99.839996  101.38  1.54  1.85
37 2024-05-21   99.870003   99.00 -0.87  0.98
38 2024-05-22   99.839996   99.98  0.14  1.12
39 2024-05-23   99.660004   98.84 -0.82  0.30
40 2024-05-24   99.870003  100.85  0.98  1.28
41 2024-05-28   99.790001  100.27  0.48  1.76
42 2024-05-29   99.750000   97.93 -1.83 -0.07
Mean Absolute Error: 0.82%
Epoch: 328, Final Loss: 0.000095
Norm: 73.88
