         date     Predict    True  diff   acc
0  2024-01-26  100.309998   99.70 -0.60 -0.60
1  2024-01-29  100.269997  101.10  0.83  0.23
2  2024-01-30  100.300003   98.62 -1.68 -1.45
3  2024-01-31  100.110001  100.65  0.53 -0.92
4  2024-02-01  100.320000  100.83  0.51 -0.41
5  2024-02-02  100.430000  100.64  0.21 -0.20
6  2024-02-05  100.199997   99.45 -0.76 -0.96
7  2024-02-06  100.239998   99.07 -1.17 -2.13
8  2024-02-07  100.320000  101.23  0.91 -1.22
9  2024-02-08  100.349998  101.72  1.37  0.15
10 2024-02-12  100.279999  101.41  1.13  1.28
11 2024-02-13  100.209999  100.49  0.28  1.56
12 2024-02-14  100.279999  101.05  0.76  2.32
13 2024-02-15  100.300003  101.54  1.23  3.55
14 2024-02-16  100.230003   99.40 -0.83  2.72
15 2024-02-20  100.220001   99.40 -0.82  1.90
16 2024-02-21  100.290001  101.49  1.20  3.10
17 2024-02-23  100.410004  101.42  1.00  4.10
18 2024-02-26  100.250000   99.76 -0.50  3.60
19 2024-02-27  100.209999  100.00 -0.21  3.39
20 2024-02-28  100.260002   99.26 -1.00  2.39
21 2024-02-29  100.220001  100.96  0.75  3.14
22 2024-03-01  100.290001  102.43  2.13  5.27
23 2024-03-04  100.260002   99.21 -1.05  4.22
24 2024-03-05  100.110001   99.69 -0.42  3.80
25 2024-03-06  100.230003  101.43  1.20  5.00
26 2024-03-07  100.190002   98.28 -1.91  3.09
27 2024-03-08  100.160004   98.28 -1.88  1.21
28 2024-03-11  100.260002   98.67 -1.59 -0.38
29 2024-03-12  100.370003  101.78  1.40  1.02
30 2024-03-13  100.269997   98.50 -1.77 -0.75
31 2024-03-14  100.260002   99.83 -0.43 -1.18
32 2024-03-15  100.260002  101.15  0.89 -0.29
33 2024-03-18  100.279999  101.53  1.25  0.96
34 2024-03-20  100.599998  102.63  2.01  2.97
35 2024-03-21  100.349998  100.95  0.59  3.56
36 2024-03-22  100.160004   99.48 -0.67  2.89
37 2024-03-25  100.209999   99.03 -1.18  1.71
38 2024-03-26  100.260002  100.26  0.01  1.72
39 2024-03-27  100.370003  100.38  0.01  1.73
40 2024-03-28  100.269997   99.83 -0.44  1.29
41 2024-04-01  100.209999   98.98 -1.23  0.06
42 2024-04-02  100.139999   99.02 -1.12 -1.06
43 2024-04-03  100.250000  101.26  1.00 -0.06
Mean Absolute Error: 0.96%
Epoch: 582, Final Loss: 0.000115
Norm: 27.97

         date     Predict    True  diff   acc
0  2024-01-29  100.230003  101.10  0.87  0.87
1  2024-01-30  100.260002   98.62 -1.64 -0.77
2  2024-01-31  100.080002  100.65  0.57 -0.20
3  2024-02-01  100.290001  100.83  0.54  0.34
4  2024-02-02  100.400002  100.64  0.24  0.58
5  2024-02-05  100.169998   99.45 -0.72 -0.14
6  2024-02-06  100.199997   99.07 -1.13 -1.27
7  2024-02-07  100.279999  101.23  0.95 -0.32
8  2024-02-08  100.309998  101.72  1.40  1.08
9  2024-02-12  100.239998  101.41  1.17  2.25
10 2024-02-13  100.169998  100.49  0.31  2.56
11 2024-02-14  100.250000  101.05  0.80  3.36
12 2024-02-15  100.269997  101.54  1.27  4.63
13 2024-02-16  100.199997   99.40 -0.79  3.84
14 2024-02-20  100.190002   99.40 -0.79  3.05
15 2024-02-21  100.250000  101.49  1.23  4.28
16 2024-02-23  100.379997  101.42  1.04  5.32
17 2024-02-26  100.220001   99.76 -0.46  4.86
18 2024-02-27  100.180000  100.00 -0.18  4.68
19 2024-02-28  100.220001   99.26 -0.96  3.72
20 2024-02-29  100.180000  100.96  0.78  4.50
21 2024-03-01  100.250000  102.43  2.17  6.67
22 2024-03-04  100.220001   99.21 -1.01  5.66
23 2024-03-05  100.070000   99.69 -0.38  5.28
24 2024-03-06  100.190002  101.43  1.23  6.51
25 2024-03-07  100.160004   98.28 -1.87  4.64
26 2024-03-08  100.120003   98.28 -1.85  2.79
27 2024-03-11  100.220001   98.67 -1.55  1.24
28 2024-03-12  100.330002  101.78  1.44  2.68
29 2024-03-13  100.239998   98.50 -1.73  0.95
30 2024-03-14  100.220001   99.83 -0.39  0.56
31 2024-03-15  100.220001  101.15  0.93  1.49
32 2024-03-18  100.250000  101.53  1.28  2.77
33 2024-03-20  100.570000  102.63  2.05  4.82
34 2024-03-21  100.320000  100.95  0.63  5.45
35 2024-03-22  100.120003   99.48 -0.64  4.81
36 2024-03-25  100.169998   99.03 -1.14  3.67
37 2024-03-26  100.220001  100.26  0.04  3.71
38 2024-03-27  100.330002  100.38  0.05  3.76
39 2024-03-28  100.230003   99.83 -0.40  3.36
40 2024-04-01  100.169998   98.98 -1.19  2.17
41 2024-04-02  100.099998   99.02 -1.08  1.09
42 2024-04-03  100.220001  101.26  1.04  2.13
43 2024-04-04  100.050003   97.85 -2.20 -0.07
Mean Absolute Error: 1.00%
Epoch: 299, Final Loss: 0.000125
Norm: 15.11

         date     Predict    True  diff   acc
0  2024-01-30  100.250000   98.62 -1.63 -1.63
1  2024-01-31  100.059998  100.65  0.59 -1.04
2  2024-02-01  100.269997  100.83  0.56 -0.48
3  2024-02-02  100.379997  100.64  0.26 -0.22
4  2024-02-05  100.150002   99.45 -0.71 -0.93
5  2024-02-06  100.190002   99.07 -1.12 -2.05
6  2024-02-07  100.269997  101.23  0.97 -1.08
7  2024-02-08  100.300003  101.72  1.42  0.34
8  2024-02-12  100.220001  101.41  1.18  1.52
9  2024-02-13  100.160004  100.49  0.33  1.85
10 2024-02-14  100.230003  101.05  0.81  2.66
11 2024-02-15  100.250000  101.54  1.29  3.95
12 2024-02-16  100.180000   99.40 -0.78  3.17
13 2024-02-20  100.169998   99.40 -0.77  2.40
14 2024-02-21  100.239998  101.49  1.25  3.65
15 2024-02-23  100.360001  101.42  1.05  4.70
16 2024-02-26  100.199997   99.76 -0.44  4.26
17 2024-02-27  100.160004  100.00 -0.16  4.10
18 2024-02-28  100.209999   99.26 -0.94  3.16
19 2024-02-29  100.160004  100.96  0.80  3.96
20 2024-03-01  100.239998  102.43  2.18  6.14
21 2024-03-04  100.209999   99.21 -1.00  5.14
22 2024-03-05  100.059998   99.69 -0.37  4.77
23 2024-03-06  100.180000  101.43  1.25  6.02
24 2024-03-07  100.139999   98.28 -1.86  4.16
25 2024-03-08  100.110001   98.28 -1.83  2.33
26 2024-03-11  100.209999   98.67 -1.54  0.79
27 2024-03-12  100.320000  101.78  1.45  2.24
28 2024-03-13  100.220001   98.50 -1.72  0.52
29 2024-03-14  100.209999   99.83 -0.38  0.14
30 2024-03-15  100.199997  101.15  0.94  1.08
31 2024-03-18  100.230003  101.53  1.30  2.38
32 2024-03-20  100.550003  102.63  2.07  4.45
33 2024-03-21  100.300003  100.95  0.64  5.09
34 2024-03-22  100.099998   99.48 -0.62  4.47
35 2024-03-25  100.160004   99.03 -1.13  3.34
36 2024-03-26  100.209999  100.26  0.06  3.40
37 2024-03-27  100.320000  100.38  0.06  3.46
38 2024-03-28  100.220001   99.83 -0.38  3.08
39 2024-04-01  100.160004   98.98 -1.18  1.90
40 2024-04-02  100.089996   99.02 -1.07  0.83
41 2024-04-03  100.199997  101.26  1.06  1.89
42 2024-04-04  100.029999   97.85 -2.18 -0.29
43 2024-04-05  100.309998  100.56  0.25 -0.04
Mean Absolute Error: 0.99%
Epoch: 299, Final Loss: 0.000123
Norm: 24.54

         date     Predict    True  diff   acc
0  2024-01-31  100.099998  100.65  0.55  0.55
1  2024-02-01  100.309998  100.83  0.52  1.07
2  2024-02-02  100.419998  100.64  0.22  1.29
3  2024-02-05  100.190002   99.45 -0.74  0.55
4  2024-02-06  100.230003   99.07 -1.15 -0.60
5  2024-02-07  100.300003  101.23  0.93  0.33
6  2024-02-08  100.339996  101.72  1.38  1.71
7  2024-02-12  100.260002  101.41  1.14  2.85
8  2024-02-13  100.199997  100.49  0.29  3.14
9  2024-02-14  100.269997  101.05  0.77  3.91
10 2024-02-15  100.290001  101.54  1.25  5.16
11 2024-02-16  100.220001   99.40 -0.82  4.34
12 2024-02-20  100.209999   99.40 -0.81  3.53
13 2024-02-21  100.269997  101.49  1.21  4.74
14 2024-02-23  100.400002  101.42  1.01  5.75
15 2024-02-26  100.239998   99.76 -0.48  5.27
16 2024-02-27  100.199997  100.00 -0.20  5.07
17 2024-02-28  100.250000   99.26 -0.98  4.09
18 2024-02-29  100.199997  100.96  0.76  4.85
19 2024-03-01  100.269997  102.43  2.15  7.00
20 2024-03-04  100.250000   99.21 -1.03  5.97
21 2024-03-05  100.089996   99.69 -0.41  5.56
22 2024-03-06  100.220001  101.43  1.21  6.77
23 2024-03-07  100.180000   98.28 -1.89  4.88
24 2024-03-08  100.150002   98.28 -1.87  3.01
25 2024-03-11  100.250000   98.67 -1.58  1.43
26 2024-03-12  100.360001  101.78  1.41  2.84
27 2024-03-13  100.260002   98.50 -1.76  1.08
28 2024-03-14  100.239998   99.83 -0.42  0.66
29 2024-03-15  100.239998  101.15  0.91  1.57
30 2024-03-18  100.269997  101.53  1.26  2.83
31 2024-03-20  100.589996  102.63  2.03  4.86
32 2024-03-21  100.339996  100.95  0.61  5.47
33 2024-03-22  100.139999   99.48 -0.66  4.81
34 2024-03-25  100.199997   99.03 -1.16  3.65
35 2024-03-26  100.239998  100.26  0.02  3.67
36 2024-03-27  100.349998  100.38  0.03  3.70
37 2024-03-28  100.260002   99.83 -0.42  3.28
38 2024-04-01  100.190002   98.98 -1.21  2.07
39 2024-04-02  100.129997   99.02 -1.11  0.96
40 2024-04-03  100.239998  101.26  1.02  1.98
41 2024-04-04  100.070000   97.85 -2.22 -0.24
42 2024-04-05  100.349998  100.56  0.21 -0.03
43 2024-04-08  100.250000  100.27  0.02 -0.01
Mean Absolute Error: 0.95%
Epoch: 299, Final Loss: 0.000117
Norm: 7.76

         date     Predict    True  diff   acc
0  2024-02-01  100.300003  100.83  0.53  0.53
1  2024-02-02  100.410004  100.64  0.23  0.76
2  2024-02-05  100.180000   99.45 -0.73  0.03
3  2024-02-06  100.209999   99.07 -1.14 -1.11
4  2024-02-07  100.290001  101.23  0.94 -0.17
